id, token, freq
978, b'8.', 64
979, b'state ', 64
980, b'ially', 64
981, b'05', 64
982, b'p t', 63
983, b'yd', 63
984, b'.S', 63
985, b'km', 63
986, b'of 1', 63
987, b're in', 63
988, b'o B', 63
989, b'll,', 63
990, b'ly f', 63
991, b'ing on', 63
992, b'(b', 63
993, b'nomi', 63
994, b'ecei', 63
995, b'boo', 63
996, b'was n', 63
997, b' med', 63
998, b'VR', 63
999, b'at o', 62
1000, b'rew', 62
1001, b'stre', 62
1002, b' to m', 62
1003, b'Tho', 62
1004, b'ssu', 62
1005, b'.\n ', 62
1006, b'rmin', 62
1007, b'\x81', 61
1008, b' ter', 61
1009, b'wan', 61
1010, b'ats', 61
1011, b' to co', 61
1012, b' dat', 61
1013, b'e sp', 61
1014, b'Je', 61
1015, b'req', 61
1016, b'9.', 61
1017, b'5)', 61
1018, b'rof', 61
1019, b's', 60
1020, b' the v', 60
1021, b' hos', 60
1022, b'was f', 60
1023, b' led', 60
1024, b' ol', 59
1025, b'uen', 59
1026, b' ban', 59
1027, b'oft', 59
1028, b'II', 59
1029, b'AP', 59
1030, b'llia', 59
1031, b'Her', 59
1032, b'Bea', 59
1033, b'liz', 59
1034, b'lang', 59
1035, b'.\n\nR', 59
1036, b'ugh t', 59
1037, b'Sum', 59
1038, b'=', 58
1039, b' au', 58
1040, b'ingl', 58
1041, b'cese', 58
1042, b' hu', 58
1043, b'of the p', 58
1044, b' blo', 58
1045, b'k.', 58
1046, b'seas', 58
1047, b'as co', 58
1048, b'U.', 58
1049, b'ent i', 58
1050, b'gramm', 58
1051, b'ough t', 58
1052, b'&', 57
1053, b'?', 57
1054, b' ob', 57
1055, b'sort', 57
1056, b'74', 57
1057, b'Pres', 57
1058, b'bly', 57
1059, b'hat h', 57
1060, b'sed in', 57
1061, b'.\n\nE', 57
1062, b'06', 57
1063, b'er to ', 57
1064, b'ned a', 57
1065, b'y, t', 57
1066, b' deat', 57
1067, b'89', 57
1068, b'he ', 56
1069, b'sat', 56
1070, b'stm', 56
1071, b' a h', 56
1072, b'eak', 56
1073, b'AC', 56
1074, b'wat', 56
1075, b'a wa', 56
1076, b'-b', 56
1077, b' for s', 56
1078, b'Lat', 56
1079, b'"T', 56
1080, b'jor', 56
1081, b'Sain', 56
1082, b'7)', 56
1083, b' former', 56
1084, b'ports', 56
1085, b'sed b', 56
1086, b'ships', 56
1087, b'minat', 56
1088, b'at s', 55
1089, b'wl', 55
1090, b'va ', 55
1091, b'a se', 55
1092, b'and an', 55
1093, b'ent.', 55
1094, b'a B', 55
1095, b'st.', 55
1096, b'C-', 55
1097, b'he E', 55
1098, b'ing d', 55
1099, b'Lan', 55
1100, b'rrent', 55
1101, b' you', 55
1102, b' diff', 55
1103, b'in o', 54
1104, b' the ti', 54
1105, b'phi', 54
1106, b' bin', 54
1107, b'ing co', 54
1108, b'ping', 54
1109, b' met', 54
1110, b' coul', 54
1111, b'FB', 54
1112, b'ce an', 54
1113, b'Pen', 54
1114, b'e sc', 54
1115, b'ucces', 54
1116, b'and E', 54
1117, b'quen', 54
1118, b'o 1', 53
1119, b'a of', 53
1120, b'Mil', 53
1121, b'wag', 53
1122, b'wav', 53
1123, b're d', 53
1124, b'vati', 53
1125, b'orati', 53
1126, b' no ', 53
1127, b'AE', 53
1128, b'g l', 53
1129, b'ph ', 53
1130, b's, b', 53
1131, b'ccord', 53
1132, b'gree', 53
1133, b'n', 52
1134, b'\xbc', 52
1135, b'rh', 52
1136, b'ing b', 52
1137, b'tif', 52
1138, b'at i', 52
1139, b'woo', 52
1140, b' did', 52
1141, b're the ', 51
1142, b'tist', 51
1143, b'asu', 51
1144, b'o st', 51
1145, b'ri ', 51
1146, b'till', 51
1147, b'a ne', 51
1148, b'entre', 51
1149, b'ants', 51
1150, b'as on', 51
1151, b's, in', 51
1152, b'Il', 51
1153, b'The r', 51
1154, b'resul', 51
1155, b'wager', 51
1156, b'flo', 51
1157, b' on a', 51
1158, b'dwa', 51
1159, b'in the U', 51
1160, b'NC', 51
1161, b'Gu', 51
1162, b' 194', 51
1163, b'sd', 50
1164, b'd v', 50
1165, b'eag', 50
1166, b'ects', 50
1167, b' ef', 50
1168, b'de o', 50
1169, b'Hou', 50
1170, b' to f', 50
1171, b'.\n\nB', 50
1172, b' bot', 50
1173, b'48', 50
1174, b'st c', 50
1175, b'in f', 50
1176, b'd af', 50
